Age,Other mental disorders,Idiopathic developmental intellectual disability,Conduct disorder,Attention-deficit/hyperactivity disorder,Autism spectrum disorders,Eating disorders,Anxiety disorders,Bipolar disorder,Depressive disorders,Schizophrenia
0-6 days,0,0.031504298,0,0,0.005248501,0,0,0,0,0
7-27 days,0,0.031785794,0,0,0.005229631,0,0,0,0,0
28-364 days,0,0.032901393,0,0,0.005191955,0,0,0,0,0
1-4 years,0,0.032173991,0,0.001523879,0.004668217,0,0.001169094,0,0,0
5-9 years,0,0.032308543,0.01405863,0.012444437,0.004421151,7.62049E-06,0.013311525,0,0.001122358,0
10-14 years,0.001236145,0.031402082,0.03995228,0.016344413,0.004238903,0.000785726,0.032537964,0.002625564,0.010718528,5.49126E-05
15-19 years,0.008154167,0.030234444,0.028924306,0.012636209,0.003964929,0.002691063,0.038464948,0.008322813,0.02531983,0.000475685
20-24 years,0.019423021,0.028321684,0.00480455,0.009468661,0.003779283,0.003272195,0.037932629,0.008238385,0.032766956,0.001841191
25-29 years,0.027060127,0.026194745,0,0.007519895,0.003641797,0.003518055,0.038650977,0.007545194,0.035075748,0.003360739
30-34 years,0.030037044,0.02462198,0,0.006255143,0.003527315,0.003891495,0.040850599,0.007547601,0.037922896,0.004257574
35-39 years,0.031041116,0.02282952,0,0.005311772,0.003419888,0.003296494,0.043768215,0.007969744,0.042813142,0.004652024
40-44 years,0.030975696,0.021270699,0,0.004491612,0.003328053,0.002046758,0.046362474,0.008542784,0.047197032,0.004712133
45-49 years,0.030557199,0.019728375,0,0.00374201,0.003237005,0.001235798,0.046758911,0.008737396,0.05124193,0.004574035
50-54 years,0.029972606,0.017918551,0,0.003038363,0.003140627,0,0.045710897,0.008588331,0.056052201,0.004287308
55-59 years,0.029373818,0.016309259,0,0.002200077,0.003042323,0,0.043905931,0.008288492,0.061518152,0.003907506
60-64 years,0.028824099,0.015283793,0,0.001376369,0.002935854,0,0.041951056,0.007813186,0.067224853,0.003464802
65-69 years,0.028397968,0.014141481,0,0.000763,0.002837242,0,0.040214362,0.007023013,0.071022367,0.002937629
70-74 years,0.028094896,0.012101581,0,0.000379235,0.002733154,0,0.038789028,0.006057016,0.072863586,0.002366823
75-79 years,0.027860992,0.009346472,0,0.000161693,0.002601512,0,0.037303429,0.005068146,0.074300711,0.001787783
80-84 years,0.028056878,0.009002115,0,4.05911E-05,0.002477387,0,0.035723599,0.004151706,0.072056789,0.001264508
85-89  years,0.029084033,0.006487895,0,6.48493E-06,0.00239715,0,0.033143522,0.00340477,0.065572027,0.000838252
90-94  years,0.030799829,0.004344402,0,8.02E-07,0.002264026,0,0.029912808,0.002764321,0.059682879,0.000524803
95+ years,0.033758181,0.002619983,0,9.18E-08,0.002115049,0,0.026120419,0.00216624,0.054307499,0.000310221